COMMUNE;LIBGEO;MED15;SEXE_1;SEXE_2;AGEREVQ_015;AGEREVQ_020;AGEREVQ_025;AGEREVQ_030;AGEREVQ_035;AGEREVQ_040;AGEREVQ_045;AGEREVQ_050;AGEREVQ_055;AGEREVQ_060;AGEREVQ_065;AGEREVQ_070;AGEREVQ_075;AGEREVQ_080;AGEREVQ_085;AGEREVQ_090;AGEREVQ_095;AGEREVQ_100;AGEREVQ_110;AGEREVQ_105;CS1_1;CS1_2;CS1_3;CS1_4;CS1_5;CS1_6;CS1_7;CS1_8;DIPLOME_1;DIPLOME_2;DIPLOME_3;EMPLOI_1;EMPLOI_2;EMPLOI_3;EMPLOI_9;MENAGE_1;MENAGE_2;MENAGE_3;MENAGE_4;MENAGE_5;TYPLOG_1;TYPLOG_3;TYPLOG_2;STOCC_1;STOCC_2;STOCC_3;STOCC_4
37064;Chaumussay;17 933;110;100;11,90;0,00;0,00;9,52;7,14;2,38;4,76;7,14;4,76;16,67;14,29;4,76;2,38;14,29;0,00;0,00;0,00;0,00;0,00;0,00;2,38;4,76;4,76;4,76;11,90;9,52;45,24;16,67;57,14;9,52;33,33;21,43;4,76;11,90;61,90;16,67;16,67;28,57;38,10;0,00;97,62;0,00;2,38;95,24;4,76;0,00;0,00
37065;Chaveignes;18 153;245;225;1,07;2,06;2,06;8,30;5,17;5,21;5,36;8,45;8,54;9,63;10,73;8,60;10,75;5,39;7,60;1,09;0,00;0,00;0,00;0,00;3,15;2,17;2,10;8,49;15,67;12,52;48,42;7,47;73,69;15,83;10,49;31,46;1,03;6,39;61,12;14,23;6,31;30,12;47,19;2,15;100,00;0,00;0,00;93,52;6,48;0,00;0,00
37066;Chédigny;21 933;222;212;1,16;2,33;4,65;10,47;9,30;6,98;8,13;6,98;5,81;11,63;16,28;5,81;3,49;4,65;1,16;1,16;0,00;0,00;0,00;0,00;3,49;1,16;6,98;16,28;15,12;13,95;40,70;2,32;52,32;18,61;29,07;32,56;12,79;5,81;48,83;15,12;1,16;40,70;37,21;5,80;97,68;1,15;1,16;82,57;11,63;4,65;1,15
37067;Cheillé;21 077;712;737;11,42;3,81;4,84;6,23;9,00;7,61;12,46;10,03;7,96;5,54;5,54;3,11;5,88;3,46;0,69;2,42;0,00;0,00;0,00;0,00;0,69;4,84;6,92;22,15;14,88;12,80;22,49;15,22;52,25;19,03;28,72;43,25;5,88;5,88;44,98;14,88;12,11;43,95;27,68;1,38;96,54;1,38;2,08;82,70;10,73;3,81;2,77
37068;Chemillé-sur-Dême;19 959;280;260;2,78;3,70;5,56;14,81;12,04;8,33;8,33;10,19;1,85;6,48;2,78;1,85;6,48;6,48;6,48;1,85;0,00;0,00;0,00;0,00;1,85;5,56;6,48;15,74;20,37;12,96;26,85;10,19;63,89;18,52;17,59;39,81;5,56;9,26;45,37;17,59;4,63;40,74;31,48;5,56;96,30;3,70;0,00;62,96;18,52;8,33;10,19
37069;Chemillé-sur-Indrois;19 712;75;104;5,26;0,00;0,00;7,89;7,89;5,26;10,53;7,89;5,26;15,79;7,89;2,63;2,63;7,89;7,89;5,26;0,00;0,00;0,00;0,00;2,63;7,89;5,26;15,79;7,89;7,89;39,47;13,16;50,00;13,16;36,84;21,05;5,26;15,79;57,89;21,05;5,26;36,84;36,84;0,00;100,00;0,00;0,00;78,95;18,42;0,00;2,63
37070;Chenonceaux;21 823;145;145;5,17;0,00;1,72;8,62;6,90;5,17;12,07;3,45;15,52;12,07;12,07;1,72;8,62;5,17;0,00;1,72;0,00;0,00;0,00;0,00;0,00;5,17;3,45;10,34;10,34;20,69;41,38;8,62;70,69;8,62;20,69;32,76;3,45;3,45;60,34;17,24;3,45;44,83;34,48;0,00;96,55;0,00;3,45;89,66;8,62;0,00;1,72
37071;Chezelles;20 077;50;65;4,35;4,35;4,35;0,00;0,00;13,04;4,35;21,74;21,74;4,35;13,04;0,00;4,35;0,00;0,00;4,35;0,00;0,00;0,00;0,00;0,00;0,00;4,35;17,39;13,04;17,39;30,43;17,39;60,87;4,35;34,78;34,78;4,35;0,00;60,87;13,04;0,00;47,83;34,78;4,35;95,65;4,35;0,00;91,30;4,35;0,00;4,35
37072;Chinon;19 603;3274;3717;7,50;5,36;5,53;6,30;5,49;7,02;7,46;9,24;8,89;8,60;8,02;5,31;4,01;5,03;2,98;2,54;0,65;0,07;0,00;0,00;0,36;3,33;6,09;12,26;16,04;12,28;35,38;14,24;60,59;15,96;23,45;31,15;6,67;4,85;57,33;24,98;8,71;25,15;32,34;8,82;65,94;7,30;26,76;54,19;18,71;16,46;10,63
37073;Chisseaux;21 741;267;246;3,06;5,10;5,06;5,10;11,23;6,13;9,19;9,19;8,17;8,17;14,29;2,04;3,06;3,06;6,13;1,02;0,00;0,00;0,00;0,00;0,00;1,02;7,15;13,27;17,36;20,42;33,69;7,10;53,04;18,38;28,58;42,88;7,15;2,04;47,93;22,46;1,02;34,71;40,84;0,97;99,03;0,97;0,00;79,63;7,15;10,21;3,02
37074;Chouzé-sur-Loire;18 575;794;864;4,52;3,92;8,44;6,02;6,63;6,93;6,02;8,43;8,73;7,83;7,83;9,64;5,42;4,82;3,31;1,20;0,30;0,00;0,00;0,00;1,81;2,71;2,71;8,13;16,57;19,28;34,64;14,16;74,70;14,16;11,14;33,13;7,83;4,52;54,52;17,17;4,82;36,44;37,95;3,62;92,16;5,13;2,71;78,61;11,75;3,61;6,03
37075;Cigogné;22 467;195;160;5,61;1,40;17,06;8,42;7,01;5,61;7,01;7,19;8,42;11,22;7,01;8,42;4,21;0,00;0,00;0,00;1,40;0,00;0,00;0,00;2,81;4,21;5,61;8,42;11,22;16,83;28,06;22,85;60,72;16,83;22,44;35,07;5,61;8,42;50,90;11,22;7,01;51,90;16,83;13,03;89,78;10,22;0,00;84,17;2,81;0,00;13,03
37076;Cinais;20 017;204;174;9,16;5,26;3,95;3,95;3,95;11,78;10,52;14,49;14,50;2,64;9,23;2,64;5,28;0,00;2,64;0,00;0,00;0,00;0,00;0,00;1,32;9,22;6,58;13,15;11,85;21,03;21,10;15,75;71,06;9,20;19,73;36,84;7,89;13,17;42,10;14,55;3,94;39,32;42,19;0,00;97,36;0,00;2,64;71,08;13,16;14,44;1,32
37077;Cinq-Mars-la-Pile;20 521;1298;1396;8,82;3,59;5,75;12,05;10,97;8,45;9,35;9,17;10,97;4,68;7,20;2,52;1,98;1,98;1,62;0,90;0,00;0,00;0,00;0,00;0,00;3,42;5,93;20,49;22,30;16,73;19,07;12,05;55,05;20,49;24,46;53,96;6,82;3,96;35,27;14,39;10,43;46,23;26,98;1,96;92,83;1,78;5,40;78,62;12,23;7,56;1,60
37078;Ciran;19 155;160;150;4,84;3,23;3,23;11,29;11,29;14,52;8,06;8,06;6,45;14,52;8,06;4,84;1,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,45;1,61;0,00;17,74;12,90;22,58;27,42;11,29;70,97;14,52;14,52;38,71;6,45;8,06;46,77;17,74;14,52;38,71;25,81;3,23;96,77;3,23;0,00;77,42;9,68;9,68;3,23
37079;Civray-de-Touraine;21 801;729;765;9,64;4,68;5,35;3,02;7,31;11,32;12,34;9,73;11,41;5,70;5,71;3,03;3,03;2,69;4,04;0,67;0,34;0,00;0,00;0,00;0,67;4,34;8,67;14,68;19,06;16,39;24,54;11,66;62,25;17,74;20,01;45,12;6,33;7,00;41,55;11,14;6,70;51,25;30,23;0,67;98,32;0,33;1,35;89,94;6,70;0,00;3,36
37080;Civray-sur-Esves;19 804;74;84;3,13;0,00;6,25;0,00;0,00;9,38;15,63;21,88;9,38;15,63;3,13;3,13;3,13;3,13;3,13;3,13;0,00;0,00;0,00;0,00;3,13;0,00;15,63;9,38;9,38;21,88;31,25;9,38;71,88;15,63;12,50;50,00;3,13;3,13;43,75;15,63;0,00;34,38;50,00;0,00;100,00;0,00;0,00;84,38;12,50;0,00;3,13
37081;Cléré-les-Pins;20 649;594;502;7,20;5,00;8,20;10,73;10,72;11,80;10,47;8,26;9,65;6,45;4,15;0,46;3,68;3,25;0,00;0,00;0,00;0,00;0,00;0,00;0,93;5,94;5,00;15,47;24,74;20,05;15,23;12,65;62,78;17,70;19,52;50,34;8,09;7,76;33,81;13,05;4,90;45,41;33,88;2,75;94,93;0,00;5,07;74,63;13,04;10,03;2,31
37082;Continvoir;18 685;179;189;6,49;1,33;1,26;6,60;1,30;6,59;8,14;13,47;6,87;6,91;12,24;6,80;5,51;8,24;6,84;1,40;0,00;0,00;0,00;0,00;1,40;2,60;4,21;6,63;10,73;17,19;47,95;9,29;82,39;9,30;8,32;22,76;10,60;4,00;62,64;19,66;6,73;38,05;35,56;0,00;100,00;0,00;0,00;86,25;9,54;1,40;2,81
37083;Cormery;21 296;692;744;6,57;5,53;4,15;11,06;6,22;10,02;10,72;6,57;6,22;6,22;4,49;7,95;4,88;4,28;2,46;1,52;0,39;0,39;0,35;0,00;0,00;3,80;4,49;19,01;19,01;14,17;28,44;11,06;52,42;24,08;23,50;46,32;5,18;4,50;44,00;14,17;6,22;41,14;33,87;4,59;83,65;4,60;11,75;72,24;17,63;3,46;6,67
37084;Couesmes;17 727;215;199;10,81;6,62;7,72;5,52;6,62;6,62;13,02;8,84;13,25;4,42;5,52;1,10;4,42;1,10;0,00;4,42;0,00;0,00;0,00;0,00;3,31;8,82;2,21;10,81;16,55;17,66;19,88;20,75;75,95;16,33;7,72;37,30;3,31;16,55;42,84;13,27;1,77;43,00;37,55;4,42;98,89;0,00;1,11;68,42;24,95;1,11;5,52
37085;Courçay;22 342;355;370;9,54;4,77;4,83;6,88;6,14;4,77;13,68;11,07;12,53;12,50;4,20;1,40;2,80;2,11;2,08;0,70;0,00;0,00;0,00;0,00;2,08;2,74;5,48;21,30;22,74;13,80;21,61;10,24;55,93;18,60;25,46;45,43;6,86;6,88;40,84;11,31;6,24;54,56;27,90;0,00;99,30;0,00;0,70;90,26;4,91;3,43;1,39
37086;Courcelles-de-Touraine;19 191;190;180;9,46;2,70;10,81;2,70;5,41;17,57;6,76;8,11;8,11;4,05;10,81;2,70;4,05;2,70;2,70;0,00;1,35;0,00;0,00;0,00;2,70;4,05;8,11;12,16;22,97;17,57;22,97;9,46;74,32;13,51;12,16;36,49;17,57;10,81;35,14;10,81;4,05;56,76;27,03;1,35;98,65;1,35;0,00;85,14;10,81;1,35;2,70
37087;Courcoué;19 801;100;111;10,00;0,00;0,00;5,00;10,00;5,00;12,50;10,00;2,50;12,50;20,00;2,50;0,00;5,00;2,50;0,00;2,50;0,00;0,00;0,00;15,00;2,50;5,00;5,00;10,00;12,50;40,00;10,00;60,00;15,00;25,00;22,50;2,50;17,50;57,50;17,50;5,00;32,50;45,00;0,00;97,50;0,00;2,50;90,00;7,50;2,50;0,00
37088;Couziers;21 640;47;42;0,00;0,00;5,88;11,76;23,53;11,76;0,00;5,88;5,88;5,88;11,76;0,00;5,88;11,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,76;11,76;17,65;5,88;11,76;35,29;5,88;47,06;23,53;29,41;41,18;0,00;5,88;52,94;17,65;0,00;35,29;47,06;0,00;100,00;0,00;0,00;70,59;29,41;0,00;0,00
37089;Cravant-les-Côteaux;21 606;300;295;5,98;3,42;5,98;5,13;4,27;5,98;6,84;14,53;11,11;8,55;11,97;3,42;3,42;2,56;5,13;0,85;0,85;0,00;0,00;0,00;4,27;1,71;1,71;14,53;17,95;18,80;34,19;6,84;66,67;19,66;13,68;37,61;11,11;5,13;46,15;17,09;11,11;23,93;46,15;1,71;99,15;0,00;0,85;80,34;9,40;7,69;2,56
37090;Crissay-sur-Manse;19 535;51;33;5,56;5,56;5,56;0,00;16,67;5,56;5,56;16,67;11,11;5,56;5,56;5,56;5,56;0,00;5,56;0,00;0,00;0,00;0,00;0,00;22,22;11,11;11,11;5,56;5,56;5,56;27,78;11,11;27,78;38,89;33,33;5,56;16,67;38,89;38,89;22,22;0,00;33,33;44,44;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00
37091;La Croix-en-Touraine;22 393;930;955;6,36;4,30;5,57;5,57;6,84;8,35;6,58;9,11;8,86;10,12;10,38;9,11;4,30;2,53;1,27;0,51;0,25;0,00;0,00;0,00;0,00;4,05;5,57;13,67;19,23;14,17;34,67;8,65;56,98;15,44;27,58;38,46;7,09;5,57;48,88;13,41;4,56;42,01;38,97;1,05;96,92;1,31;1,77;86,55;7,59;3,80;2,07
37092;Crotelles;20 764;255;255;6,80;7,87;5,91;11,66;7,73;11,78;6,82;11,67;9,90;1,98;1,98;7,96;1,99;3,96;1,98;0,00;0,00;0,00;0,00;0,00;0,99;1,98;8,77;26,38;18,60;15,65;20,86;6,78;50,16;26,51;23,33;55,65;8,81;3,96;31,58;8,03;6,92;50,38;33,69;0,98;97,04;0,98;1,98;75,45;17,77;5,80;0,98
37093;Crouzilles;19 469;222;233;7,95;3,41;7,95;4,55;4,55;5,68;11,36;9,09;12,50;6,82;5,68;5,68;5,68;2,27;2,27;2,27;2,27;0,00;0,00;0,00;3,41;6,82;3,41;9,09;15,91;28,41;27,27;5,68;71,59;18,18;10,23;37,50;9,09;11,36;42,05;20,45;5,68;32,95;40,91;0,00;100,00;0,00;0,00;88,64;9,09;2,27;0,00
37094;Cussay;19 268;255;240;5,05;3,03;8,08;8,08;7,07;4,04;6,06;5,05;19,19;11,11;12,12;2,02;4,04;2,02;2,02;1,01;0,00;0,00;0,00;0,00;3,03;8,08;1,01;15,15;18,18;16,16;28,28;10,10;75,76;14,14;10,10;38,38;7,07;11,11;43,43;11,11;4,04;40,40;40,40;4,04;97,98;2,02;0,00;85,86;10,10;2,02;2,02
37095;Dame-Marie-les-Bois;20 514;143;144;11,16;0,00;7,02;12,56;20,20;3,67;5,38;7,18;8,93;0,00;13,34;3,51;1,76;3,47;0,00;1,83;0,00;0,00;0,00;0,00;0,00;0,00;10,76;21,49;5,46;21,69;23,91;16,69;60,49;16,42;23,09;39,23;5,66;3,59;51,52;8,59;9,13;51,40;30,89;0,00;96,26;0,00;3,74;83,62;9,36;7,02;0,00
37096;Dierre;21 604;269;225;10,89;0,99;2,97;8,91;11,88;8,91;9,90;11,88;8,91;6,93;6,93;4,95;0,99;1,98;0,00;2,97;0,00;0,00;0,00;0,00;1,98;3,96;6,93;16,83;14,85;22,77;22,77;9,90;57,43;15,84;26,73;48,51;3,96;6,93;40,59;12,87;0,99;56,44;29,70;0,00;100,00;0,00;0,00;90,10;7,92;0,00;1,98
37097;Dolus-le-Sec;19 942;279;249;9,43;3,77;9,43;5,66;14,15;10,38;15,09;12,26;8,49;3,77;3,77;1,89;1,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,94;4,72;10,38;25,47;19,81;16,04;10,38;12,26;44,34;15,09;40,57;61,32;2,83;7,55;28,30;11,32;8,49;55,66;22,64;1,89;98,11;0,00;1,89;88,68;10,38;0,94;0,00
37098;Draché;19 489;325;280;14,05;4,13;4,13;5,79;8,26;9,09;13,22;9,92;9,09;5,79;4,96;2,48;6,61;0,83;1,65;0,00;0,00;0,00;0,00;0,00;4,13;5,79;8,26;14,05;16,53;18,18;19,01;14,05;64,46;18,18;17,36;39,67;7,44;12,40;40,50;12,40;12,40;47,93;23,14;4,13;98,35;0,00;1,65;79,34;12,40;8,26;0,00
37099;Druye;22 122;350;400;5,95;1,98;7,05;8,59;11,23;7,93;9,91;8,59;11,67;9,25;4,62;5,07;3,30;1,77;2,21;0,44;0,44;0,00;0,00;0,00;2,64;5,28;5,28;21,80;17,17;15,85;21,82;10,14;54,64;15,19;30,17;53,51;3,30;9,25;33,94;8,59;9,91;42,28;35,67;3,56;96,44;3,56;0,00;88,51;7,93;0,00;3,56
37100;Épeigné-les-Bois;19 658;191;175;4,35;1,45;8,70;4,35;5,80;14,49;8,70;5,80;1,45;5,80;10,14;5,80;10,14;7,25;4,35;1,45;0,00;0,00;0,00;0,00;5,80;5,80;5,80;13,04;7,25;15,94;39,13;7,25;62,32;17,39;20,29;23,19;8,70;13,04;55,07;18,84;0,00;49,28;31,88;0,00;100,00;0,00;0,00;72,46;4,35;8,70;14,49
37101;Épeigné-sur-Dême;18 097;83;67;13,79;3,45;6,90;3,45;0,00;3,45;17,24;13,79;10,34;0,00;6,90;10,34;3,45;3,45;3,45;0,00;0,00;0,00;0,00;0,00;10,34;0,00;6,90;13,79;13,79;17,24;27,59;10,34;51,72;20,69;27,59;44,83;3,45;10,34;41,38;17,24;0,00;48,28;34,48;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00
37103;Esves-le-Moutier;20 208;67;62;4,00;8,00;4,00;4,00;0,00;4,00;8,00;4,00;8,00;8,00;0,00;12,00;16,00;16,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00;4,00;4,00;12,00;8,00;56,00;4,00;68,00;16,00;16,00;20,00;0,00;12,00;68,00;16,00;12,00;32,00;40,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00
37104;Esvres;22 807;2268;2330;6,39;4,35;6,24;9,38;7,60;11,41;8,47;7,13;8,99;9,09;8,10;4,43;3,77;2,88;1,44;0,33;0,00;0,00;0,00;0,00;0,11;4,13;9,60;20,74;15,51;12,01;27,38;10,52;50,61;17,82;31,58;47,39;3,79;6,14;42,67;11,37;3,78;47,19;33,08;4,58;90,21;4,35;5,43;77,85;9,58;7,56;5,02
37105;Faye-la-Vineuse;17 179;105;100;4,88;0,00;0,00;2,44;2,44;7,32;17,07;7,32;9,76;9,76;4,88;7,32;7,32;9,76;9,76;0,00;0,00;0,00;0,00;0,00;4,88;14,63;7,32;7,32;9,76;7,32;43,90;4,88;56,10;24,39;19,51;26,83;2,44;19,51;51,22;24,39;2,44;24,39;43,90;4,88;100,00;0,00;0,00;85,37;9,76;0,00;4,88
37106;La Ferrière;20 324;124;124;6,00;6,00;2,00;4,00;4,00;16,00;14,00;16,00;10,00;4,00;8,00;4,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;10,00;16,00;16,00;12,00;8,00;22,00;14,00;52,00;14,00;34,00;38,00;6,00;14,00;42,00;12,00;8,00;52,00;28,00;0,00;100,00;0,00;0,00;92,00;8,00;0,00;0,00
37107;Ferrière-Larçon;17 862;101;116;2,33;4,65;2,33;2,33;4,65;4,65;11,63;6,98;6,98;18,60;11,63;9,30;2,33;2,33;4,65;4,65;0,00;0,00;0,00;0,00;6,98;2,33;0,00;9,30;18,60;11,63;48,84;2,33;79,07;13,95;6,98;20,93;4,65;9,30;65,12;30,23;9,30;23,26;37,21;0,00;100,00;0,00;0,00;74,42;18,60;4,65;2,33
37108;Ferrière-sur-Beaulieu;20 334;266;321;4,91;1,73;7,68;4,19;4,97;8,34;9,21;7,79;12,18;9,41;6,97;7,82;9,56;1,72;2,66;0,87;0,00;0,00;0,00;0,00;1,73;4,24;5,13;11,78;16,06;14,54;39,06;7,46;65,17;16,27;18,55;37,30;5,07;5,98;51,65;12,40;11,18;40,07;34,68;1,66;96,53;0,00;3,47;76,79;9,30;13,91;0,00
37109;Fondettes;25 450;4131;4461;8,73;4,40;4,16;5,32;6,19;9,11;8,88;8,99;8,27;8,75;9,20;6,16;4,12;4,03;2,21;1,40;0,07;0,04;0,00;0,00;0,10;4,34;13,44;16,17;12,76;7,38;32,86;12,94;44,34;19,28;36,38;37,94;4,57;7,14;50,35;11,31;6,97;42,66;35,42;3,64;88,67;2,51;8,82;76,15;13,63;6,55;3,67
37110;Francueil;21 897;554;574;6,66;2,67;3,57;5,34;9,32;8,47;12,03;10,27;7,62;7,16;5,37;6,28;5,37;5,83;2,24;1,80;0,00;0,00;0,00;0,00;0,45;4,46;3,57;15,14;17,83;18,73;30,92;8,90;63,86;16,53;19,60;43,69;3,56;6,24;46,50;9,45;4,46;43,98;41,21;0,90;99,11;0,00;0,89;89,27;9,38;0,00;1,35
37111;Genillé;19 843;559;724;8,03;1,54;2,33;3,88;7,28;7,26;9,32;8,59;9,42;12,91;8,23;7,84;5,49;4,33;2,38;1,18;0,00;0,00;0,00;0,00;0,79;6,23;6,21;10,47;13,91;12,77;37,29;12,33;63,96;20,52;15,52;30,19;3,07;9,74;57,00;19,81;13,56;29,09;35,23;2,31;96,50;0,40;3,11;79,37;11,23;7,06;2,34
37112;Gizeux;17 712;173;205;5,56;5,56;5,56;1,39;5,56;2,78;8,33;6,94;9,72;8,33;13,89;11,11;6,94;4,17;4,17;0,00;0,00;0,00;0,00;0,00;4,17;5,56;2,78;6,94;16,67;11,11;43,06;9,72;69,44;15,28;15,28;23,61;8,33;8,33;59,72;22,22;5,56;30,56;41,67;0,00;100,00;0,00;0,00;73,61;12,50;8,33;5,56
37113;Le Grand-Pressigny;17 708;387;429;4,86;4,87;7,94;6,09;4,87;7,31;7,92;11,59;7,34;6,74;6,72;3,67;6,13;5,51;6,00;1,83;0,61;0,00;0,00;0,00;1,22;9,15;6,10;7,32;12,80;15,25;36,60;11,57;66,46;12,81;20,73;29,88;5,48;10,98;53,65;19,51;6,72;34,64;35,47;3,67;97,55;0,00;2,45;76,77;12,22;7,96;3,05
37114;La Guerche;17 831;90;85;8,57;0,00;5,71;2,86;0,00;8,57;11,43;8,57;14,29;5,71;2,86;14,29;5,71;2,86;8,57;0,00;0,00;0,00;0,00;0,00;2,86;5,71;0,00;2,86;14,29;22,86;40,00;11,43;65,71;11,43;22,86;31,43;5,71;8,57;54,29;25,71;0,00;34,29;34,29;5,71;97,14;0,00;2,86;91,43;8,57;0,00;0,00
37115;Descartes;18 078;1513;1586;5,44;4,68;4,63;4,95;4,26;5,94;7,38;10,12;7,08;9,87;10,36;7,92;8,30;4,98;3,11;0,99;0,00;0,00;0,00;0,00;0,33;2,83;1,76;9,43;15,20;17,46;42,10;10,89;76,16;13,82;10,02;30,28;4,44;3,65;61,63;24,49;8,90;25,75;39,08;1,77;85,17;1,62;13,21;66,77;19,79;9,95;3,50
37116;Les Hermites;20 388;254;209;7,71;6,59;5,51;2,20;9,85;12,03;11,01;14,27;12,11;5,51;6,61;1,10;4,40;0,00;1,10;0,00;0,00;0,00;0,00;0,00;6,61;3,30;5,51;15,42;17,62;16,52;17,62;17,41;63,66;11,01;25,33;45,15;4,40;11,01;39,44;18,72;14,32;25,33;26,43;15,21;88,09;10,81;1,10;72,68;11,01;1,10;15,21
37117;Hommes;19 135;346;351;10,08;4,35;7,67;12,74;11,54;8,70;10,87;2,92;5,84;6,57;4,37;2,92;4,24;4,98;2,20;0,00;0,00;0,00;0,00;0,00;2,91;5,08;2,90;14,21;17,24;20,86;22,37;14,43;69,12;15,64;15,23;39,54;7,11;7,99;45,36;13,23;2,92;50,16;31,54;2,15;94,88;1,46;3,66;81,11;11,64;3,64;3,62
37118;Huismes;21 643;640;603;4,64;1,69;8,00;8,44;6,33;5,91;7,60;8,02;12,66;10,97;6,75;8,02;5,91;2,53;1,27;0,84;0,42;0,00;0,00;0,00;2,11;2,95;4,64;20,68;10,13;14,77;36,29;8,42;56,95;17,30;25,74;41,36;2,95;5,91;49,78;18,15;7,60;41,78;32,07;0,40;99,60;0,40;0,00;87,78;8,86;2,95;0,40
37119;L'Île-Bouchard;17 873;555;783;4,58;4,20;3,43;4,58;2,29;5,72;6,87;9,16;6,87;11,07;7,88;7,63;3,40;7,60;9,86;2,27;2,21;0,37;0,00;0,00;0,38;2,67;5,34;9,03;12,98;11,45;47,47;10,69;73,43;11,05;15,51;25,06;7,63;4,58;62,73;25,95;8,01;24,43;34,35;7,26;76,33;5,73;17,94;58,77;17,56;14,12;9,55
37121;Jaulnay;17 866;103;117;14,27;2,27;7,09;2,32;9,36;4,73;13,89;13,90;7,41;2,27;11,25;2,22;4,49;0,00;2,27;2,27;0,00;0,00;0,00;0,00;2,32;6,95;4,63;2,82;25,62;18,77;24,77;14,13;69,61;21,13;9,26;33,12;7,09;9,26;50,53;11,12;4,82;47,31;36,30;0,45;95,01;4,99;0,00;76,67;18,34;0,00;4,99
37122;Joué-lès-Tours;19 478;14142;16422;7,33;7,74;7,57;7,05;7,20;7,48;7,24;6,60;6,77;8,27;8,18;5,58;4,77;4,10;2,49;1,25;0,30;0,07;0,01;0,00;0,07;2,00;6,54;13,79;17,65;12,54;31,86;15,54;55,04;19,51;25,45;34,81;7,54;2,91;54,74;21,91;10,10;33,35;29,88;4,77;51,25;2,90;45,85;54,96;17,60;22,19;5,26
37123;Langeais;19 706;1691;1981;6,01;6,01;7,52;7,79;8,74;9,97;8,74;6,97;7,51;7,79;6,70;5,33;3,82;3,96;0,82;1,77;0,55;0,00;0,00;0,00;0,68;2,87;6,69;15,85;16,94;18,44;27,73;10,79;62,70;13,12;24,18;42,90;7,38;4,37;45,35;17,76;7,65;37,16;31,97;5,46;84,84;2,86;12,30;63,39;16,26;15,44;4,91
37124;Larçay;24 425;975;1024;8,33;3,92;3,92;6,86;6,62;9,56;10,29;10,05;5,88;11,27;9,07;6,62;4,41;1,72;1,47;0,00;0,00;0,00;0,00;0,00;0,25;2,94;12,75;19,85;14,95;7,11;28,43;13,73;43,87;22,55;33,58;43,87;4,66;6,62;44,85;10,78;5,64;43,38;39,22;0,98;96,08;0,00;3,92;80,88;7,35;9,07;2,70
37125;Lémeré;18 685;190;205;6,33;5,06;6,33;7,59;5,06;11,39;7,59;10,13;10,13;8,86;10,13;2,53;1,27;3,80;2,53;1,27;0,00;0,00;0,00;0,00;0,00;2,53;3,80;11,39;21,52;17,72;29,11;13,92;63,29;13,92;22,78;43,04;7,59;3,80;45,57;8,86;3,80;46,84;35,44;5,06;100,00;0,00;0,00;70,89;20,25;8,86;0,00
37126;Lerné;19 350;165;125;3,38;12,07;10,27;8,49;8,60;5,14;3,42;1,73;17,39;3,44;8,69;8,66;5,22;1,73;1,75;0,00;0,00;0,00;0,00;0,00;3,44;3,47;3,47;17,12;18,98;20,54;27,81;5,18;51,80;20,65;27,56;32,69;5,20;5,16;56,95;21,05;8,60;25,46;34,66;10,23;89,52;0,00;10,48;53,49;29,14;15,62;1,75
37127;Le Liège;18 373;160;160;9,37;1,56;10,94;6,25;12,51;10,94;10,94;9,37;9,37;1,56;4,69;4,69;3,12;1,56;0,00;3,12;0,00;0,00;0,00;0,00;4,69;1,56;0,00;12,49;28,14;18,75;21,87;12,50;70,31;14,06;15,62;40,63;6,25;7,81;45,31;15,62;6,25;37,48;18,74;21,91;79,65;17,23;3,12;60,91;15,62;4,69;18,79
37128;Lignières-de-Touraine;19 509;503;523;6,36;3,43;5,88;9,31;8,81;10,78;5,88;9,31;10,80;6,87;5,40;5,89;3,92;3,93;2,45;0,49;0,49;0,00;0,00;0,00;1,47;2,45;2,94;15,19;16,17;23,03;29,45;9,31;64,72;19,60;15,68;46,05;7,35;3,92;42,68;12,78;5,88;45,02;31,41;4,90;98,04;0,98;0,98;81,37;15,69;1,47;1,47
37129;Ligré;20 230;458;474;4,86;5,95;7,03;8,65;4,32;2,70;8,11;3,78;8,65;11,35;12,43;10,27;4,32;3,24;3,78;0,54;0,00;0,00;0,00;0,00;0,54;3,24;2,70;10,81;15,14;13,51;42,70;11,35;62,16;16,22;21,62;32,43;4,86;4,86;57,84;12,43;4,86;37,30;45,41;0,00;98,92;0,00;1,08;81,62;15,68;2,16;0,54
37130;Ligueil;18 412;835;1074;4,26;4,13;3,88;5,57;6,35;5,75;6,67;6,18;9,92;7,86;8,42;6,30;7,85;8,95;5,00;1,58;1,32;0,00;0,00;0,00;2,35;3,86;4,10;7,67;14,37;10,49;44,66;12,51;74,84;11,04;14,12;26,42;4,55;7,73;61,30;17,36;4,37;26,46;37,67;14,14;79,82;13,62;6,56;58,37;15,13;10,79;15,71
